category,product_name,product_code,cas_number,iupac_name,slug,short_description,application_tags,has_long_desc,has_bullets,has_image
Acrylates & Methacrylates,"1,3-Butanediol Dimethacrylate","1,3-BGDMA",1189-08-8,"1,3-Butanediol Dimethacrylate (1,3-BG)",1-3-bgdma,A difunctional cross-linking monomer used in dental and medical applications.,Dental Composites; Medical Adhesives; Anaerobic Adhesives,yes,yes,no
Acrylates & Methacrylates,"1,4-Butanediol Dimethacrylate","1,4-BGDMA",2082-81-7,"1,4-Butanediol Dimethacrylate (1,4-BG)",1-4-bgdma,A cross-linking monomer that provides a good balance of hardness and flexibility.,Adhesives; Coatings; Engineering Plastics; Dental Composites,yes,yes,no
Acrylates & Methacrylates,"1,6-Hexanediol Dimethacrylate","1,6-HDDMA",6606-59-3,"1,6-Hexanediol Dimethacrylate (HD)",1-6-hddma,A flexible cross-linking monomer that reduces viscosity and improves impact resistance.,Coatings; Inks; Adhesives; Photopolymers,yes,yes,no
Acrylates & Methacrylates,1-Methylheptyl acrylate(C8),1-Methylheptyl acrylate,42928-85-8,1-Methylheptyl acrylate,1-methylheptyl-acrylate,A branched C8 acrylate monomer used to control polymer properties like Tg and flexibility.,Specialty Polymers; Adhesives; Coatings,yes,yes,yes
Acrylates & Methacrylates,"2,2,2-Trifluoroethyl Methacrylate",3FMA,352-87-4,"2,2,2-Trifluoroethyl Methacrylate",3fma,"A fluorinated methacrylate for creating low surface energy, hydrophobic, and oleophobic polymers.",Hydrophobic Coatings; Low Refractive Index Polymers; Dental Sealants; Anti-graffiti Coatings,yes,yes,no
Acrylates & Methacrylates,2-Ethylhexyl Methacrylate,EHMA,688-84-6,2-Ethylhexyl Methacrylate,ehma,A common methacrylate monomer used to lower Tg and improve flexibility and water resistance.,Pressure-Sensitive Adhesives; Coatings; Sealants; Textile Binders,yes,yes,no
Acrylates & Methacrylates,2-Hydroxyethyl Acrylate,HEA,818-61-1,2-Hydroxyethyl Acrylate,hea,A hydroxy-functional monomer containing hydroxyl groups that serve as reactive sites for crosslinking and promote adhesion to polar substrates.,Coatings; Adhesives; Photopolymers,yes,yes,no
Acrylates & Methacrylates,2-Hydroxyethyl Methacrylate,HEMA,868-77-9,2-Hydroxyethyl Methacrylate,hema,"A primary hydroxy-functional methacrylate for cross-linking, adhesion, and hydrophilicity.",Adhesives; Coatings; Contact Lenses; Medical Polymers,yes,yes,no
Acrylates & Methacrylates,2-Hydroxypropyl Acrylate,HPA,25584-83-2,2-Hydroxypropyl Acrylate,hpa,A hydroxy-functional monomer providing flexibility and reactivity in polymer systems.,Coatings; Adhesives; Sealants; Resin Synthesis,yes,yes,no
Acrylates & Methacrylates,2-Hydroxypropyl Methacrylate,HPMA,27813-02-1,2-Hydroxypropyl Methacrylate,hpma,A hydroxy-functional methacrylate providing flexibility and a reactive site for cross-linking.,Coatings; Adhesives; Resins; Photopolymers,yes,yes,no
Acrylates & Methacrylates,4-Hydroxybutyl Acrylate,4-HBA,211391,4-Hydroxybutyl Acrylate,4-hba,"A hydroxy-functional acrylate used to improve adhesion, flexibility, and as a cross-linking site.",Automotive Coatings; Adhesives; UV Resins; Tough Coatings,yes,yes,no
Acrylates & Methacrylates,4-Hydroxybutyl Methacrylate,4-HBMA,2082-81-7,4-Hydroxybutyl Methacrylate,4-hbma,A hydroxy-functional methacrylate used to improve flexibility and impact strength.,Flexible Coatings; Adhesives; Impact Modifiers; Resin Synthesis,yes,yes,no
Acrylates & Methacrylates,Acryloylmorpholine,ACMO,1175324,Acryloylmorpholine,acmo,"A hydrophilic, low-toxicity monomer used for UV-cured inks, coatings, and hydrogels.",UV Inks; 3D Printing; Hydrogels; Coatings,yes,yes,no
Acrylates & Methacrylates,Allyl Acrylate,Allyl Acrylate,999-55-3,Allyl Acrylate,allyl-acrylate,A dual-functionality monomer with both acrylate and allyl groups for controlled cross-linking.,Cross-linking Agent; Specialty Copolymers; Interpenetrating Polymer Networks (IPNs),yes,yes,yes
Acrylates & Methacrylates,Allyl Methacrylate,AMA,96-05-9,Allyl Methacrylate,ama,A dual-functionality monomer with methacrylate and allyl groups for staged or controlled polymerization.,Cross-linking Agent; Dental Resins; Optical Polymers; Coatings,yes,yes,no
Acrylates & Methacrylates,Benzyl Methacrylate,BZMA,2495-37-6,Benzyl Methacrylate,bzma,"An aromatic methacrylate providing high refractive index, hardness, and chemical resistance.",Optical Resins; Coatings; Adhesives; Electronic Materials,yes,yes,no
Acrylates & Methacrylates,Biphenylyl Methacrylate,Biphenylyl methacrylate,24308-78-1,"[1,1′-Biphenyl]-4-yl 2-methylprop-2-enoate",biphenylyl-methacrylate,"Biphenylyl methacrylate is an aromatic methacrylate monomer with a biphenyl pendant, used to make high-refractive-index transparent polymers for optical and ophthalmic applications.",Methacrylates; High-Index Polymers; Optical Materials; Lens Monomers,yes,yes,yes
